"Designator","Footprint","Mid X","Mid Y","Ref X","Ref Y","Pad X","Pad Y","Layer","Rotation","Comment",
"C1","0603","16.0542mm","8.34392mm","16.0542mm","8.34392mm","16.0542mm","9.14392mm","T","270","100n",
"C2","0603","28.5542mm","5.34392mm","28.5542mm","5.34392mm","28.5542mm","4.54392mm","T","90","100n",
"C3","0603","30.0542mm","5.34392mm","30.0542mm","5.34392mm","30.0542mm","4.54392mm","T","90","100n",
"C4","0603","31.5542mm","5.34392mm","31.5542mm","5.34392mm","31.5542mm","4.54392mm","T","90","100n",
"C5","0603","8.5542mm","8.34392mm","8.5542mm","8.34392mm","8.5542mm","7.54392mm","T","90","1µ",
"C6","0603","14.5542mm","8.34392mm","14.5542mm","8.34392mm","14.5542mm","9.14392mm","T","270","1µ",
"C7","0603","39.5542mm","0.84392mm","39.5542mm","0.84392mm","38.7542mm","0.84392mm","T","0","100n",
"D1","0603-LED","39.5542mm","9.84392mm","39.5542mm","9.84392mm","40.3542mm","9.84392mm","T","180","LED",
"IC1","LQFP-32","22.0542mm","5.34392mm","22.0542mm","5.34392mm","26.2542mm","2.54392mm","T","180","STM32F042K6T7",
"IC2","SOT-23","11.5542mm","8.64392mm","11.5542mm","8.64392mm","12.7042mm","7.69392mm","T","180","MCP1700",
"IC3","SOT-23-5","31.5542mm","1.84392mm","31.5542mm","1.84392mm","30.2542mm","2.79392mm","T","0","MIC2004-0_5YM5",
"J3","FTSH-105-01-L-DV-K","37.5542mm","5.34392mm","37.5542mm","5.34392mm","39.5892mm","2.80392mm","T","90","PROG",
"R1","0603","28.5542mm","1.84392mm","28.5542mm","1.84392mm","28.5542mm","2.64392mm","T","270","10k",
"R2","0603","35.5542mm","0.84392mm","35.5542mm","0.84392mm","36.3542mm","0.84392mm","T","180","10k",
"R3","0603","35.5542mm","9.84392mm","35.5542mm","9.84392mm","36.3542mm","9.84392mm","T","180","10k",
"Through Hole Items ",
"J2","USB-C_16Pin","6.5542mm","5.34392mm","6.5542mm","5.34392mm","5.6392mm","9.66392mm","T","270","USB_C_Receptacle_USB2.0",
"P1","TC2030-NL","11.5542mm","2.34392mm","11.5542mm","2.34392mm","12.8242mm","2.98392mm","T","180","SWD_TC",
